STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001001,-9999,-9999,-9999,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001002,-9999,-9999,0.03,0.0,0.0,68,-9999,51,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001003,-9999,-9999,0.00,0.0,0.0,69,49,55,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001004,-9999,-9999,0.00,0.0,0.0,75,48,52,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001005,-9999,-9999,0.00,0.0,0.0,69,51,54,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001006,-9999,-9999,0.22,0.0,0.0,58,51,54,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001007,-9999,-9999,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001008,-9999,-9999,0.00,0.0,0.0,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001009,-9999,-9999,0.00,0.0,0.0,-9999,32,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001010,-9999,-9999,0.03,0.0,0.0,-9999,-9999,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001011,-9999,-9999,0.00,0.0,0.0,46,35,43,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001012,-9999,-9999,0.00,0.0,0.0,63,36,46,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001013,-9999,-9999,0.00,0.0,0.0,67,44,53,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001014,-9999,-9999,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001015,-9999,-9999,0.00,0.0,0.0,77,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
