Date,Predicted,Actual,Error
20020114,20,29,9
20020124,15,39,24
20020203,21,16,5
20020213,31,15,16
20020223,29,27,2
20020305,23,16,7
20020315,42,38,4
20020325,44,32,12
20020404,31,32,1
20020414,38,57,19
20020424,40,35,5
20020504,53,40,13
20020514,36,40,4
20020524,47,45,2
20020604,36,68,32
20020614,60,51,9
20020624,47,64,17
20020704,54,75,21
20020714,64,61,3
20020724,68,59,9
20020803,69,67,2
20020813,68,65,3
20020823,50,62,12
20020902,71,52,19
20020912,59,45,14
20020923,54,67,13
20021203,55,13,42
20021213,55,31,24
20021223,16,35,19
20030102,15,27,12
20030112,24,18,6
20030122,21,3,18
20030201,12,30,18
20030211,10,10,0
20030221,14,22,8
20030303,0,7,7
20030313,3,32,29
20030323,12,61,49
20030402,49,28,21
20030412,37,36,1
20030422,27,42,15
20030602,31,46,15
20030612,43,56,13
20030622,55,57,2
20030702,50,58,8
20030712,68,61,7
20030722,65,66,1
20030801,60,62,2
20030811,69,67,2
20030821,68,64,4
20030831,66,50,16
20030910,62,43,19
20030920,60,68,8
20030930,70,44,26
20031110,52,22,30
20031120,42,40,2
20031130,27,34,7
20031210,33,23,10
20031220,17,25,8
20031230,18,33,15
20040109,44,2,42
20040119,40,17,23
20040129,-5,16,21
20040208,4,10,6
20040218,20,13,7
20040228,20,22,2
20040309,24,25,1
20040319,36,32,4
20040329,20,30,10
20040508,23,42,19
20040518,67,51,16
20040528,65,45,20
20040607,55,51,4
20040617,44,64,20
20040627,48,54,6
20040707,55,59,4
20040717,63,65,2
20040727,64,58,6
20040806,62,58,4
20040816,75,67,8
20040826,66,49,17
20040905,71,58,13
20040915,70,49,21
20040925,61,58,3
20041005,44,43,1
20041015,45,48,3
20041025,55,44,11
20041104,42,27,15
20041114,40,22,18
20041124,25,33,8
20041204,45,24,21
20041214,34,20,14
20041224,30,26,4
20050103,26,34,8
20050113,22,30,8
20050123,22,7,15
20050302,2,21,19
20050312,-1,20,21
20050322,34,26,8
20050401,23,36,13
20050411,27,39,12
20050421,41,43,2
20050501,34,48,14
20050511,37,44,7
20050521,37,39,2
20050531,44,51,7
20050610,42,67,25
20050620,65,52,13
20050630,53,67,14
20050710,63,54,9
20050720,55,73,18
20050730,67,64,3
20050809,67,70,3
20050819,55,56,1
20050829,73,68,5
20050908,58,54,4
20050918,62,60,2
20050928,70,44,26
20051008,60,67,7
20051018,50,44,6
20051028,49,34,15
20051107,40,49,9
20051117,43,38,5
20051127,31,22,9
20051207,41,19,22
20051217,33,28,5
20051227,24,29,5
20060106,17,24,7
20060116,22,3,19
20060126,31,25,6
20060205,38,38,0
20060215,31,26,5
20060225,14,18,4
20060307,10,23,13
20060317,14,24,10
20060327,39,34,5
20060406,23,29,6
20060416,47,47,0
20060426,33,32,1
20060507,42,41,1
20060517,43,47,4
20060527,50,58,8
20060606,41,51,10
20060616,56,57,1
20060626,50,66,16
20060706,59,60,1
20060716,59,67,8
20060726,65,64,1
20060805,65,68,3
20060815,63,68,5
20060825,61,59,2
20060904,64,55,9
20060914,59,49,10
20060924,58,58,0
20061004,54,50,4
20061014,54,31,23
20061024,45,33,12
20061103,47,32,15
20061113,42,47,5
20061123,43,33,10
20061203,37,30,7
20061213,42,36,6
20061223,14,29,15
20070102,37,39,2
20070112,31,20,11
20070122,39,8,31
20070201,9,19,10
20070211,0,13,13
20070221,5,28,23
20070303,8,30,22
20070313,22,32,10
20070323,0,37,37
20070402,19,33,14
20070412,40,33,7
20070422,25,50,25
20070502,36,45,9
20070512,42,57,15
20070522,37,42,5
20070601,46,54,8
20070611,59,58,1
20070621,48,57,9
20070701,50,54,4
20070711,63,70,7
20070721,64,57,7
20070731,62,65,3
20070810,59,60,1
20070820,60,52,8
20070830,53,59,6
20070909,66,66,0
20070919,60,44,16
20070929,49,53,4
20071009,56,55,1
20071019,57,59,2
20071029,39,27,12
20071108,56,29,27
20071118,37,29,8
20071128,31,31,0
20071208,29,22,7
20071218,17,16,1
20071228,24,32,8
20080107,26,34,8
20080117,27,14,13
20080127,38,19,19
20080206,11,39,28
20080216,22,17,5
20080226,7,26,19
20080307,16,27,11
20080317,22,25,3
20080327,30,30,0
20080406,25,39,14
20080416,31,32,1
20080426,45,45,0
20080506,42,42,0
20080516,30,49,19
20080526,40,51,11
20080605,45,55,10
20080615,59,55,4
20080625,70,56,14
20080705,56,64,8
20080715,69,61,8
20080726,67,60,7
20080805,69,62,7
20080815,67,61,6
20080825,57,62,5
20080904,49,62,13
20080914,62,63,1
20080924,59,44,15
20081004,42,42,0
20081014,61,48,13
20081024,46,28,18
20081103,36,29,7
20081113,28,32,4
20081123,55,16,39
20081203,27,24,3
20081213,30,21,9
20081223,11,11,0
20090102,27,6,21
20090112,36,18,18
20090122,21,10,11
20090201,-3,15,18
20090211,12,25,13
20090221,3,18,15
20090303,21,8,13
20090313,17,18,1
20090323,45,22,23
20090402,27,33,6
20090412,40,31,9
20090422,39,45,6
20090502,36,51,15
20090512,54,40,14
20090522,48,54,6
20090601,51,41,10
20090611,43,52,9
20090621,51,61,10
20090701,52,63,11
20090711,61,51,10
20090721,55,60,5
20090731,61,62,1
20090810,62,61,1
20090820,67,68,1
20090830,61,56,5
20090909,64,59,5
20090919,52,41,11
20090929,56,56,0
20091009,68,45,23
20091019,57,33,24
20091029,33,42,9
20091108,40,29,11
20091118,34,30,4
20091128,41,35,6
20091208,36,24,12
20091218,40,6,34
20091228,20,31,11
20100107,14,19,5
20100117,27,27,0
20100127,18,28,10
20100206,23,9,14
20100216,8,27,19
20100226,26,28,2
20100308,30,31,1
20100318,31,41,10
20100328,35,22,13
20100407,40,46,6
20100417,41,38,3
20100427,45,43,2
20100507,44,45,1
20100517,56,52,4
20100527,40,56,16
20100606,50,67,17
20100616,58,51,7
20100626,53,60,7
20100706,66,73,7
20100716,52,66,14
20100726,66,61,5
20100805,66,72,6
20100815,57,57,0
20100825,68,61,7
20100904,65,67,2
20100914,64,55,9
20100924,57,56,1
20101004,50,45,5
20101014,59,39,20
20101024,50,39,11
20101103,37,26,11
20101113,43,41,2
20101123,32,40,8
20101203,41,30,11
20101213,24,36,12
20101223,16,27,11
20110102,18,39,21
20110112,14,15,1
20110122,18,10,8
20110201,11,15,4
20110211,21,7,14
20110221,18,12,6
20110303,12,8,4
20110313,24,35,11
20110323,22,30,8
20110402,39,32,7
20110412,23,50,27
20110422,31,32,1
20110502,34,38,4
20110512,53,49,4
20110522,46,48,2
20110601,48,59,11
20110611,57,56,1
20110621,53,51,2
20110701,51,56,5
20110711,55,63,8
20110721,61,68,7
20110731,60,63,3
20110810,61,67,6
20110820,63,66,3
20110830,62,58,4
20110909,64,57,7
20110919,63,45,18
20110929,61,62,1
20111009,67,52,15
20111019,50,50,0
20111029,56,30,26
20111108,36,39,3
20111118,34,31,3
20111128,36,40,4
20111208,36,33,3
20111218,30,15,15
20111228,23,29,6
20120110,41,22,19
20120120,7,11,4
20120130,6,25,19
20120209,33,22,11
20120219,23,30,7
20120229,25,31,6
20120310,30,25,5
20120320,25,44,19
20120330,39,34,5
20120409,43,40,3
20120419,35,46,11
20120429,44,35,9
20120509,39,49,10
20120519,47,46,1
20120529,56,63,7
20120608,57,52,5
20120618,53,52,1
20120628,59,61,2
20120708,62,66,4
20120718,62,74,12
20120728,59,66,7
20120807,62,59,3
20120817,65,60,5
20120827,71,57,14
20120906,56,63,7
20120916,65,50,15
20120926,45,50,5
20121006,45,57,12
20121016,47,46,1
20121026,41,45,4
20121105,43,34,9
20121115,47,29,18
20121125,33,28,5
20121205,29,39,10
20121215,26,31,5
20121225,37,27,10
20130104,31,6,25
20130114,22,40,18
20130124,24,0,24
20130203,17,16,1
20130213,21,31,10
20130223,17,24,7
20130305,11,26,15
20130315,33,22,11
20130325,28,30,2
20130404,25,28,3
20130414,35,35,0
20130424,43,37,6
20130504,47,43,4
20130514,44,39,5
20130524,53,53,0
20130603,46,64,18
20130613,42,51,9
20130623,52,59,7
20130703,58,69,11
20130713,66,63,3
20130723,72,68,4
20130802,75,63,12
20130812,63,58,5
20130822,56,60,4
20130901,56,67,11
20130911,64,57,7
20130921,46,48,2
20131001,49,41,8
20131011,48,46,2
20131021,56,38,18
20131031,47,32,15
20131110,33,33,0
20131120,26,25,1
20131130,32,15,17
20131210,16,28,12
20131220,33,23,10
20131230,12,34,22
20140109,12,3,9
20140119,-3,25,28
20140129,29,8,21
20140208,2,12,10
20140218,33,10,23
20140228,4,4,0
20140310,33,28,5
20140320,7,24,17
20140330,15,39,24
20140409,15,37,22
20140419,36,31,5
20140429,45,40,5
20140509,38,44,6
20140519,49,45,4
20140529,43,39,4
20140608,49,60,11
20140618,53,64,11
20140628,58,55,3
20140708,53,67,14
20140718,69,57,12
20140728,63,63,0
20140807,67,59,8
20140817,62,58,4
20140827,60,60,0
20140906,60,65,5
20140916,67,43,24
20140926,57,51,6
20141006,47,36,11
20141016,54,63,9
20141026,42,44,2
20141105,32,49,17
20141115,37,23,14
20141125,33,53,20
20141205,20,24,4
20141215,19,30,11
20141225,33,39,6
20150105,22,31,9
20150115,20,14,6
20150125,10,26,16
20150204,27,4,23
20150214,10,-1,11
20150224,13,-7,20
20150306,12,6,6
20150316,8,26,18
20150326,33,28,5
20150405,21,28,7
20150415,30,37,7
20150425,34,31,3
20150505,41,38,3
20150515,38,41,3
20150525,48,52,4
20150604,51,48,3
20150614,54,59,5
20150624,57,60,3
20150704,59,57,2
20150714,51,62,11
20150724,64,58,6
20150803,65,61,4
